runtime,ms
Node.js,2601
Node.js,2275
Node.js,2518
Node.js,2342
Node.js,2795
Node.js,2446
Node.js,2673
Node.js,2640
Node.js,2382
Node.js,2438
Python,3046
Python,3568
Python,2563
Python,3055
Python,2420
Python,2325
Python,4517
Python,3166
Python,3006
Python,2528
.NET,4937
.NET,4727
.NET,3788
.NET,3853
.NET,3061
.NET,3839
.NET,2507
.NET,3705
.NET,3339
.NET,2612
Node.js,4273
Node.js,3336
Node.js,4126
Node.js,3966
Node.js,3226
Node.js,4974
Node.js,4921
Node.js,3906
Node.js,3741
Node.js,4386
.NET,1428
.NET,1800
.NET,1256
.NET,1480
.NET,1929
.NET,1578
.NET,2763
.NET,1692
.NET,3419
.NET,1297
