rps,Aws-dotnet-50,Aws-dotnet-95,Aws-dotnet-99,Azure-dotnet-50,Azure-dotnet-95,Azure-dotnet-99,Azure-win-dotnet-50,Azure-win-dotnet-95,Azure-win-dotnet-99,Ibm-dotnet-50,Ibm-dotnet-95,Ibm-dotnet-99
10,46,61,81,,,,,,,,,
25,45,63,504,,,,,,,,,
50,47,82,94,,,,,,,,,
100,47,79,422,,,,,,,,,
200,47,66,87,,,,,,,,,
400,46,68,99,,,,,,,,,
800,47,84,246,,,,,,,,,
1000,49,94,143,,,,,,,,,
,,,,150,430,817,,,,,,
,,,,152,241,347,,,,,,
,,,,294,489,644,,,,,,
,,,,527,665,772,,,,,,
,,,,720,1502,2460,,,,,,
,,,,8090,12198,13660,,,,,,
,,,,18580,27869,29790,,,,,,
,,,,18320,27640,29590,,,,,,
,,,,,,,77,238,311,,,
,,,,,,,158,266,579,,,
,,,,,,,307,447,662,,,
,,,,,,,705,1022,1800,,,
,,,,,,,391,822,1330,,,
,,,,,,,414,839,1280,,,
,,,,,,,238,580,1010,,,
,,,,,,,187,566,956,,,
,,,,,,,,,,230,5231,8210
,,,,,,,,,,204,571,4270
,,,,,,,,,,217,4555,9160
,,,,,,,,,,227,559,4670
,,,,,,,,,,242,6136,19740
,,,,,,,,,,262,2263,7920
,,,,,,,,,,269,741,6710
,,,,,,,,,,236,482,691
