rps,Aws-python-50,Aws-python-95,Aws-python-99,Azure-python-50,Azure-python-95,Azure-python-99,Google-python-50,Google-python-95,Google-python-99,Ibm-python-50,Ibm-python-95,Ibm-python-99
10,252,293,315,,,,,,,,,
25,247,273,300,,,,,,,,,
50,246,269,310,,,,,,,,,
100,247,267,289,,,,,,,,,
200,247,268,288,,,,,,,,,
400,257,285,299,,,,,,,,,
800,251,298,638,,,,,,,,,
1000,251,323,567,,,,,,,,,
,,,,17240,24444,27150,,,,,,
,,,,19910,29655,31310,,,,,,
,,,,23990,36635,38500,,,,,,
,,,,28110,43057,44560,,,,,,
,,,,31080,47940,49870,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,740,5165,6230,,,
,,,,,,,18070,31146,32190,,,
,,,,,,,557,3422,5600,,,
,,,,,,,914,3006,4150,,,
,,,,,,,7090,12796,15300,,,
,,,,,,,10800,19186,22560,,,
,,,,,,,10940,19923,23430,,,
,,,,,,,1500,6250,8310,,,
,,,,,,,,,,531,774,845
,,,,,,,,,,518,798,891
,,,,,,,,,,503,769,921
,,,,,,,,,,502,809,1080
,,,,,,,,,,505,751,866
,,,,,,,,,,2460,13255,14140
,,,,,,,,,,545,894,1330
,,,,,,,,,,518,809,973
